NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
96;U143612442126;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
97;U143612442127;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
98;U143612442128;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
99;U143612442129;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
100;U143612442131;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
101;U143612442135;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
102;U143612442136;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
103;U143612442138;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
104;U143612442140;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
105;U147168110455;UND;CAMARA DE VIGILANCIA CAMARA DE VIGILANCIA DE 700 TVL*510 H 492 PIXEL 1/3 CCD CHIP SONY;BUENO;;
1;U142410430049;PZA;BANCO DE MADERA DE:6,00X0,40X0,45 MTS.;REGULAR;Pasillo. Cerca del 232-10;
2;U142411830071;PZA;MESON MESON DE MADERA DE 6.00MTRS. DE LARGO X 0.60MTRS. DE ANCHO X0.90 MTRS. DE ALTO.;REGULAR;Pasillo. Cerca del 232-10;
1;U147113240302;UND;VITRINA VITRINA EN ALUMINIO Y VIDRIO 120X200X35 DE 4 DIVISIONES O REPIZAS INTERNAS DE VIDRIO;BUENO;;
2;U147113240303;UND;VITRINA VITRINA EN ALUMINIO Y VIDRIO 120X200X35 DE 4 DIVISIONES O REPIZAS INTERNAS DE VIDRIO;BUENO;;
1;U147113240300;UND;VITRINA VITRINA DE ALUMINIO Y VIDRIO 120X200X35;BUENO;;
2;U147113240301;UND;VITRINA VITRINA DE ALUMINIO Y VIDRIO 120X200X35;BUENO;Movido al 232-11;
3;U147189640029;UND;OTRAS HERRAMIENTAS MAQUINA OPEN C-20A 2-LINEAS-10 DIG.ALG/10DIG.NUM.(ETIQUETADORA .26X16MM);BUENO;;
1;U147155110048;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
2;U147155110049;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
3;U147155110050;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
4;U147155110051;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
5;U147155110052;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
6;U147155110053;UND;OSCILOSCOPIO OSCILOSCOPIO MARCA OWON PC,25 MHZ.;BUENO;;
1;U147159110215;UND;EQUIPOS PARA INGENIERIA Y OTROS ENTRENADORES ANALOGICOS DIGITAL,MARCA MCP MODELO,MP1-7000A;BUENO;;
2;U147159110216;UND;EQUIPOS PARA INGENIERIA Y OTROS ENTRENADORES ANALOGICOS DIGITAL,MARCA MCP MODELO,MP1-7000A;BUENO;;
3;U147159110217;UND;EQUIPOS PARA INGENIERIA Y OTROS ENTRENADORES ANALOGICOS DIGITAL,MARCA MCP MODELO,MP1-7000A;BUENO;;
4;U147159110218;UND;EQUIPOS PARA INGENIERIA Y OTROS ENTRENADORES ANALOGICOS DIGITAL,MARCA MCP MODELO,MP1-7000A;BUENO;;
5;U147159110219;UND;EQUIPOS PARA INGENIERIA Y OTROS ENTRENADORES ANALOGICOS DIGITAL,MARCA MCP MODELO,MP1-7000A;BUENO;;
